iter	Passed	Remaining
0	50	50878
1	89	44552
2	134	44715
3	176	43910
4	215	42848
5	255	42267
6	293	41638
7	338	41940
8	381	41988
9	424	41992
10	467	42017
11	511	42080
12	553	42005
13	592	41732
14	632	41511
15	671	41286
16	710	41106
17	751	41004
18	791	40855
19	830	40685
20	869	40553
21	909	40443
22	948	40289
23	992	40380
24	1036	40408
25	1081	40527
26	1131	40760
27	1172	40697
28	1212	40592
29	1253	40523
30	1293	40431
31	1332	40318
32	1370	40162
33	1409	40037
34	1462	40334
35	1504	40278
36	1543	40168
37	1583	40080
38	1621	39954
39	1663	39912
40	1702	39831
41	1741	39719
42	1781	39640
43	1819	39543
44	1865	39584
45	1912	39672
46	1959	39740
47	2005	39775
48	2046	39720
49	2091	39737
50	2135	39728
51	2180	39747
52	2219	39662
53	2258	39572
54	2298	39494
55	2337	39407
56	2376	39311
57	2416	39251
58	2463	39285
59	2504	39234
60	2544	39163
61	2581	39057
62	2620	38979
63	2660	38914
64	2702	38877
65	2742	38811
66	2780	38726
67	2819	38646
68	2858	38569
69	2911	38686
70	2949	38594
71	2988	38523
72	3026	38437
73	3066	38366
74	3111	38375
75	3153	38339
76	3192	38269
77	3231	38202
78	3273	38163
79	3312	38099
80	3352	38040
81	3391	37971
82	3432	37918
83	3471	37861
84	3511	37795
85	3551	37741
86	3590	37683
87	3628	37605
88	3667	37538
89	3708	37494
90	3748	37444
91	3790	37412
92	3833	37390
93	3882	37417
94	3924	37385
95	3968	37367
96	4010	37338
97	4054	37318
98	4105	37367
99	4149	37345
100	4189	37289
101	4228	37231
102	4267	37161
103	4306	37104
104	4345	37042
105	4386	36991
106	4425	36935
107	4466	36893
108	4505	36833
109	4546	36786
110	4586	36732
111	4626	36678
112	4672	36676
113	4717	36665
114	4756	36602
115	4795	36542
116	4841	36541
117	4882	36490
118	4920	36428
119	4959	36371
120	4999	36317
121	5039	36264
122	5083	36243
123	5130	36244
124	5172	36204
125	5213	36162
126	5254	36121
127	5297	36088
128	5338	36044
129	5377	35985
130	5416	35930
131	5455	35876
132	5499	35849
133	5538	35792
134	5577	35738
135	5615	35676
136	5656	35631
137	5696	35581
138	5736	35535
139	5775	35477
140	5817	35439
141	5864	35437
142	5909	35416
143	5956	35410
144	6001	35389
145	6044	35356
146	6090	35339
147	6133	35310
148	6175	35268
149	6214	35213
150	6252	35154
151	6291	35097
152	6331	35050
153	6370	34996
154	6408	34937
155	6448	34889
156	6490	34851
157	6528	34791
158	6565	34727
159	6607	34687
160	6647	34641
161	6683	34573
162	6720	34511
163	6761	34465
164	6801	34417
165	6841	34373
166	6883	34332
167	6923	34285
168	6961	34231
169	7000	34181
170	7039	34127
171	7082	34093
172	7127	34072
173	7172	34047
174	7213	34007
175	7257	33978
176	7296	33927
177	7334	33872
178	7378	33843
179	7423	33818
180	7464	33776
181	7504	33730
182	7542	33671
183	7580	33617
184	7620	33571
185	7660	33524
186	7698	33471
187	7738	33422
188	7777	33375
189	7816	33321
190	7854	33266
191	7893	33218
192	7932	33168
193	7970	33114
194	8008	33061
195	8048	33013
196	8093	32991
197	8138	32964
198	8178	32917
199	8218	32875
200	8258	32830
201	8298	32782
202	8339	32739
203	8390	32740
204	8433	32704
205	8478	32677
206	8518	32634
207	8557	32584
208	8598	32542
209	8638	32496
210	8675	32439
211	8715	32393
212	8754	32348
213	8796	32306
214	8834	32257
215	8874	32210
216	8915	32171
217	8954	32119
218	8994	32075
219	9034	32032
220	9077	31997
221	9122	31971
222	9162	31926
223	9201	31878
224	9240	31827
225	9279	31779
226	9317	31728
227	9356	31679
228	9395	31632
229	9432	31578
230	9488	31586
231	9528	31541
232	9567	31494
233	9606	31448
234	9645	31398
235	9684	31352
236	9724	31305
237	9762	31257
238	9806	31226
239	9845	31178
240	9889	31144
241	9929	31100
242	9968	31053
243	10008	31010
244	10048	30967
245	10093	30937
246	10137	30904
247	10179	30865
248	10218	30820
249	10261	30785
250	10310	30765
251	10355	30736
252	10395	30694
253	10433	30644
254	10475	30604
255	10515	30561
256	10557	30522
257	10594	30469
258	10635	30428
259	10672	30376
260	10712	30330
261	10752	30288
262	10792	30242
263	10834	30206
264	10877	30169
265	10929	30160
266	10975	30130
267	11023	30107
268	11069	30081
269	11118	30060
270	11165	30036
271	11204	29988
272	11243	29942
273	11283	29897
274	11321	29848
275	11362	29806
276	11401	29759
277	11441	29715
278	11483	29677
279	11524	29634
280	11569	29603
281	11610	29561
282	11650	29517
283	11690	29473
284	11730	29430
285	11769	29382
286	11810	29340
287	11854	29306
288	11893	29259
289	11933	29215
290	11974	29174
291	12013	29129
292	12060	29100
293	12103	29065
294	12146	29028
295	12188	28989
296	12229	28947
297	12269	28902
298	12310	28861
299	12349	28816
300	12389	28770
301	12428	28725
302	12470	28685
303	12509	28639
304	12549	28596
305	12589	28553
306	12629	28508
307	12669	28464
308	12709	28421
309	12750	28381
310	12791	28339
311	12830	28293
312	12879	28268
313	12917	28220
314	12957	28177
315	12997	28133
316	13037	28089
317	13080	28053
318	13124	28017
319	13168	27982
320	13206	27936
321	13244	27887
322	13284	27844
323	13329	27811
324	13370	27769
325	13415	27735
326	13459	27701
327	13499	27656
328	13537	27609
329	13576	27564
330	13616	27521
331	13656	27477
332	13696	27433
333	13736	27391
334	13777	27349
335	13817	27305
336	13856	27259
337	13901	27226
338	13942	27185
339	13997	27171
340	14040	27133
341	14087	27103
342	14131	27067
343	14169	27020
344	14211	26981
345	14252	26939
346	14291	26895
347	14333	26854
348	14374	26812
349	14414	26770
350	14456	26729
351	14496	26686
352	14537	26645
353	14576	26600
354	14617	26558
355	14661	26522
356	14703	26483
357	14744	26440
358	14783	26396
359	14824	26355
360	14867	26316
361	14910	26277
362	14949	26234
363	14988	26188
364	15027	26144
365	15072	26109
366	15117	26073
367	15159	26035
368	15200	25993
369	15240	25949
370	15280	25907
371	15319	25861
372	15358	25817
373	15399	25775
374	15438	25730
375	15483	25696
376	15522	25650
377	15563	25610
378	15603	25566
379	15645	25526
380	15686	25485
381	15726	25443
382	15766	25398
383	15808	25359
384	15850	25319
385	15894	25282
386	15941	25251
387	15990	25221
388	16038	25191
389	16085	25159
390	16126	25117
391	16169	25078
392	16211	25038
393	16252	24996
394	16289	24950
395	16326	24902
396	16365	24856
397	16403	24811
398	16444	24769
399	16484	24727
400	16524	24684
401	16564	24641
402	16605	24599
403	16644	24555
404	16682	24509
405	16723	24467
406	16762	24423
407	16804	24382
408	16846	24342
409	16884	24297
410	16924	24254
411	16967	24215
412	17006	24170
413	17048	24131
414	17092	24094
415	17134	24053
416	17178	24016
417	17218	23973
418	17257	23930
419	17297	23887
420	17339	23846
421	17377	23800
422	17418	23759
423	17459	23718
424	17498	23674
425	17539	23633
426	17579	23590
427	17621	23550
428	17662	23508
429	17702	23465
430	17740	23420
431	17780	23378
432	17819	23334
433	17859	23291
434	17916	23270
435	17960	23233
436	18003	23193
437	18048	23157
438	18096	23125
439	18138	23085
440	18181	23046
441	18220	23002
442	18258	22956
443	18297	22912
444	18336	22869
445	18375	22824
446	18417	22784
447	18458	22743
448	18495	22696
449	18533	22652
450	18574	22611
451	18615	22569
452	18656	22527
453	18692	22480
454	18733	22439
455	18772	22395
456	18811	22352
457	18855	22313
458	18894	22269
459	18933	22226
460	18977	22188
461	19018	22146
462	19065	22112
463	19108	22073
464	19145	22028
465	19191	21991
466	19227	21944
467	19267	21901
468	19306	21859
469	19345	21815
470	19383	21770
471	19425	21729
472	19470	21693
473	19516	21657
474	19560	21619
475	19603	21580
476	19644	21538
477	19699	21512
478	19738	21469
479	19779	21427
480	19823	21389
481	19863	21347
482	19904	21305
483	19946	21265
484	19986	21223
485	20031	21185
486	20079	21151
487	20119	21109
488	20158	21065
489	20201	21026
490	20237	20979
491	20278	20937
492	20318	20895
493	20360	20854
494	20402	20814
495	20443	20773
496	20483	20731
497	20526	20691
498	20568	20651
499	20609	20609
500	20649	20567
501	20689	20524
502	20731	20484
503	20771	20441
504	20811	20399
505	20855	20361
506	20895	20318
507	20936	20276
508	20976	20234
509	21020	20196
510	21067	20160
511	21110	20121
512	21155	20083
513	21199	20044
514	21246	20008
515	21286	19966
516	21326	19923
517	21363	19878
518	21405	19838
519	21446	19797
520	21488	19755
521	21524	19710
522	21564	19667
523	21604	19625
524	21646	19585
525	21686	19542
